1 1:56.0 2:353.0 3:1739.0 4:0.9020034843205574 5:2607.0 6:2672.0 7:27.571297230569904 8:91.0 9:-14.0 10:1.1615453013904038 11:5.5943092778551575 12:28.0 13:125.23636363636363 14:266.2412553692723 15:4.630727488616639 16:657.0 17:286.4436034869503 18:0.6051273059788415 19:0.5680624123189746 20:0.010954616588419406 21:0.5185185185185185 22:0.0 23:-0.009399331517224056 24:1.5596491228070175 25:0.5224482573728398 26:0.40263078928470974 27:1.8571428571428572 28:0.0 29:0.5704561777603309 32:0.0
1 1:68.0 2:283.0 3:1221.0 4:0.9946172248803827 5:2490.0 6:2503.0 7:10.692676621563626 8:56.0 9:7.0 10:2.1680089094874573 11:1.5882027766319655 12:0.0 13:74.86567164179104 14:89.64389068443015 15:5.3186020036729 16:1650.0 17:-2.147483648E9 18:0.34685903928346473 19:0.3208428968867543 20:0.25925925925925924 21:0.1794871794871795 22:0.0 23:0.0012086678753345421 24:1.6699346405228757 25:0.44056665426860586 26:0.11344305547371178 27:0.9285714285714286 28:0.0 29:0.16288220358559113 32:0.0
1 1:62.0 2:437.0 3:1095.0 4:0.9246336357292394 5:2711.0 6:2841.0 7:22.334038811139536 8:112.0 9:-14.0 10:2.4357614639328373 11:9.48412536187609 12:798.0 13:70.47540983606558 14:37.48849003688868 15:4.707107430870474 16:321.0 17:708.9848450049412 18:0.5021127255166358 19:0.30194600319512455 20:0.02681992337164751 21:2.348998752423868 22:-0.025600835945663536 23:-0.0387029804842037 24:1.7291740316330504 25:0.37660756453022526 26:0.5166201274233535 27:1.8571428571428572 28:0.002763605442176866 29:0.7570859730895088 32:0.0
1 1:89.0 2:248.0 3:1991.0 4:0.15595238095238095 5:2451.0 6:2711.0 7:48.32919891876516 8:168.0 9:-42.0 10:1.8582890473260123 11:9.498274330424879 12:2635.0 13:85.9090909090909 14:213.05083503053913 15:2.6313503730898367 16:690.0 17:914.2708542814248 18:0.7784299857703353 19:0.7079091228023574 20:0.041666666666666664 21:0.19444444444444445 22:0.006707153989845893 23:-0.0017560664112388248 24:2.092528278072321 25:0.5840978544304234 26:0.3545860785598705 27:1.8571428571428572 28:0.0 29:0.5150164773749616 32:0.0
1 1:36.0 2:171.0 3:1305.0 4:0.5241935483870968 5:2464.0 6:2685.0 7:54.51335508252029 8:182.0 9:-21.0 10:1.4295609721781026 11:12.361637595141401 12:170.0 13:85.02857142857142 14:124.06911871407564 15:2.144108823121391 16:321.0 17:839.8322312611289 18:0.9311954889357166 19:0.7572275652601193 20:0.3281071791162978 21:0.14583333333333334 22:0.03240740740740744 23:0.0053609954642048286 24:2.290458312521963 25:0.6300946471276256 26:0.677133749737405 27:1.8571428571428572 28:0.05803571428571429 29:0.6169746279534699 32:0.0
1 1:152.0 2:227.0 3:1354.0 4:0.9515260323159784 5:2438.0 6:2516.0 7:6.52825409625375 8:21.0 9:-7.0 10:-0.7696151287732715 11:3.519356754391334 12:529.0 13:44.264900662251655 14:145.27352142248796 15:4.826106318166603 16:1476.0 17:269.2047903046556 18:0.42224766368494676 19:0.5896933375464463 20:0.021604938271604937 21:0.11666666666666667 22:0.0 23:-6.337448559670784E-4 24:1.1666666666666665 25:0.41678611898034335 26:0.3230447175284438 27:1.8571428571428572 28:0.0 29:0.46835925082493485 32:0.0
1 1:29.0 2:199.0 3:731.0 4:0.36963979416809606 5:2516.0 6:2581.0 7:21.08009417365991 8:70.0 9:-14.0 10:0.6848359380536633 11:7.682178923708625 12:27.0 13:124.92857142857143 14:220.75206950440167 15:5.611636698787945 16:288.0 17:242.8173421358423 18:0.49350528314743286 19:0.5079272825919167 20:0.3281071791162978 21:2.0581815058714112 22:6.11277445109781E-4 23:-0.06407682691685607 24:1.0920018494124744 25:0.4728383798995538 26:0.5342165732909552 27:1.8571428571428572 28:0.045855379188712526 29:0.7269309839405544 32:0.0
1 1:57.0 2:178.0 3:808.0 4:0.9873772791023843 5:2503.0 6:2607.0 7:4.362026218086353 8:21.0 9:7.0 10:0.4933885780236438 11:4.590221113424698 12:0.0 13:38.19642857142857 14:158.73630731417518 15:3.1825960226472074 16:1827.0 17:-2.147483648E9 18:0.545224954177836 19:0.9685813266002044 20:0.25925925925925924 21:0.9333333333333333 22:0.0 23:-0.012255892255892247 24:1.9444444444444446 25:0.7170092325142898 26:0.3777725592041019 27:1.8571428571428572 28:0.0 29:0.5294509421651546 32:0.0
1 1:36.0 2:290.0 3:1389.0 4:0.9523525908278737 5:2555.0 6:2607.0 7:35.71620162928205 8:105.0 9:-14.0 10:0.7626834236577154 11:4.196437064178782 12:55.0 13:143.9142857142857 14:472.46539689220015 15:4.233490571839088 16:210.0 17:144.29483705247392 18:1.5249101389658777 19:1.5119894500661075 20:0.029166666666666667 21:1.5555555555555556 22:0.06666666666666687 23:-0.04489379084967321 24:2.588274353411133 25:1.2769517786045053 26:0.32395356410759335 27:1.8571428571428572 28:0.0 29:0.4666869124212138 32:0.0
1 1:45.0 2:262.0 3:1284.0 4:0.1326007326007326 5:2490.0 6:2711.0 7:49.252783482368784 8:161.0 9:-77.0 10:0.9397706116150826 11:11.849746431306368 12:468.0 13:93.06818181818181 14:210.49823484066548 15:2.54113186515132 16:375.0 17:981.8153037374029 18:3.5804300404861378 19:1.8317749552987301 20:0.007936507936507936 21:0.1794871794871795 22:-0.024748585795097422 23:-0.003989550501178408 24:19.86835530735978 25:4.553372437471938 26:0.2315963605867174 27:0.9285714285714286 28:0.0 29:0.24476405141222315 32:0.0
1 1:41.0 2:255.0 3:962.0 4:0.9108789182544561 5:2464.0 6:2607.0 7:28.664627983560095 8:140.0 9:0.0 10:3.122936340000737 11:12.332882874656674 12:0.0 13:122.025 14:112.60151829827572 15:5.999397494227793 16:471.0 17:200.01612483854166 18:0.2909126732289031 19:0.26130482548826583 20:0.029885057471264367 21:1.0290232693622088 22:0.009722222222222215 23:-0.025618928510024223 24:0.4696969696969697 25:0.24013594781176306 26:0.46495802996178676 27:0.4642857142857143 28:-0.013655462184873953 29:0.6863536453388895 32:0.0
